,Category,Value,Units,Description,Source
Pigs,AD,55.0,-,Number of Pigs,swissfuturefarm.ch
Cows,AD,65.0,-,Number of Pigs,swissfuturefarm.ch
LSU_pigs,AD,0.5,-,LSU per Pigs,ec.europa.eu
LSU,AD,92.5,LSU,Number of LSU,calc
Manure_per_cattle,AD,7.3,kg-dry/day/LSU,Cattle manure production dry basis,doi: 10.3390/c5020027
Manure_HHV_dry,AD,3.6944444439999997,kWh/kg-dry,Fresh cattle manure energy content HHV dry basis,doi: 10.3390/c5020027
Biomass_water,AD,0.9,-,Water fraction of the digestate,guess
Biomass_prod,Timedep,"[103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166, 103.94473378379166]",kW,Biomass production,calc
Eff,BOI,0.9,-,Boiler efficiency,guess
Elec_cons,AD,0.008,-,AD faction of electricity consumed,doi: 10.3390/en10081165
U_cap,AD,0.0020800000000000003,kW/Â°C/m^2,AD heat transmittance,doi: 10.12911/22998993/89660
U_wall,AD,0.1,-,Fraction of heat lost through walls other than the cap,doi: 10.12911/22998993/89660
Cap_loss,AD,0.9,-,Fraction of heat losses through the top cap,doi: 10.12911/22998993/89660
Cap_V_ratio,AD,0.4,-,Ratio of the cap volume over the digestate volume,doi: 10.1016/j.cherd.2017.01.007
Cap_h_ratio,AD,2.2,-,Ratio of the cap raius over the cap height,doi: 10.1016/j.cherd.2017.01.007
Cyl_fill,AD,0.9,-,Ratio of the cylinder volume over the digestate volume,doi: 10.1016/j.cherd.2017.01.007
Cap_abs,AD,0.16,-,Solar Irradiance absorption coefficient for a black painted cap,guess
T_min,build,16.0,Â°C,Minimum indoor temperature,guess
T_max,build,50.0,Â°C,Maximum indoor temperature,guess
T_mean,AD,35.0,Â°C,Mean AD Temperature,guess
Residence_time,AD,30.0,day,AD Hydraulic Residence Time,guess
Tc,build,50.0,Â°C,Return heating temperature of the Building,Marechal project
Th,build,65.0,Â°C,Supply heating temperature of the Building,Marechal project
Manure_prod,AD,103.94473378379166,kW,Manure Production,calc
Sludge_volume,AD,203.0,m^3,Sludge volume capacity,calc
Cyl_volume,AD,226.0,m^3,Cylinder volume,calc
Cap_height,AD,2.15,m,Height of the AD top cap,calc
Diameter,AD,9.46,m,Diameter of the AD cylindrical body,calc
Ground_area,AD,281.15,m^2,Ground floor area,calc
Cap_area,AD,84.81,m^2,Surface area of the AD top cap,calc
Cyl_height,AD,3.22,m,Height of the AD cylindrical body,calc
U,AD,0.19404528000000004,kW/°C,AD heat conductance,calc
C,AD,269.6691111111107,kWh/°C,Heat capacity of the AD,calc
Eff_elec,SOFC,0.6,-,SOFC electric efficiency,guess
GC_elec_frac,SOFC,0.03,-,gas cleaning electric consumption fraction,Projet Semestre nils
Eff_thermal,SOFC,0.95,-,SOFC thermal efficiency,guess
cons_Elec_annual,build,787000.0,kWh/year,Annual electric consumption,SFF excel
Gains_ppl,build,26.0,kWh/m^2/year,Heating Gains from People,Paul - SIA 2024
Building_absorptance,build,0.08,-,Fraction of solar radiation absorbed relative to ground surface,guess
Elec_heat_frac,build,0.9,-,Fraction of heat produced by electricity consumber,Dirk MA
U_b,build,0.00206,kW/Â°C/m^2,Building heat transmittance,Paul - SIA 2024
C_b,build,0.12,kWh/Â°C/m^2,Building heat capacity,Paul - SIA 2024
T_amb,build,20.0,Â°C,Comfort indoor temperature,guess
Heated_area,build,14705,m^2,Building heated surface area,Building
Cp_water,General,1.16222222222222,kWh/Â°C/m^3,Heat capacity of water,guess
Temp_ext_mean,General,10.0,Â°C,Annual average external temperature,calc
Hours_per_year,Time,8760.0,h/year,Hours in a year,fact
dt,Time,1,hour,Length of a timestep in hours,calc
Time_steps,Time,48.0,integer,Number of timesteps,calc
Days,Time,"['2019-01-01', '2019-01-02']",-,List of days in a date format,calc
Periods,Timedep,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",integer,List of timestep index,calc
Time,Timedep,"['00:00:00', '01:00:00', '02:00:00', '03:00:00', '04:00:00', '05:00:00', '06:00:00', '07:00:00', '08:00:00', '09:00:00', '10:00:00', '11:00:00', '12:00:00', '13:00:00', '14:00:00', '15:00:00', '16:00:00', '17:00:00', '18:00:00', '19:00:00', '20:00:00', '21:00:00', '22:00:00', '23:00:00']",-,hour:min:sec for each timestep in a day,calc
Ext_T,Timedep,"[2.9333333333333336, 2.9499999999999997, 2.6333333333333333, 2.2833333333333337, 1.7666666666666666, 2.1666666666666665, 2.25, 2.35, 2.5, 2.4833333333333334, 2.6666666666666665, 3.0833333333333335, 3.6166666666666667, 3.433333333333333, 3.266666666666667, 3.1833333333333336, 3.1333333333333333, 3.0, 3.0500000000000003, 3.0999999999999996, 3.033333333333333, 3.0500000000000003, 3.0, 2.8333333333333335, 2.9166666666666665, 2.533333333333333, 1.75, 1.5333333333333334, 1.0000000000000002, 0.7000000000000001, 0.43333333333333335, 0.19999999999999998, 0.39999999999999997, 0.7166666666666668, 1.0166666666666666, 1.2333333333333334, 1.6666666666666667, 1.5666666666666667, 1.2, 0.9333333333333335, 0.08333333333333336, -0.26666666666666666, -0.06666666666666664, -0.39999999999999997, -0.9833333333333333, -1.45, -1.666666666666667, -1.7666666666666664]",°C,Exterior temperature,agrometeo.ch
